Anno,Tipo,Valori tipo,Valori
1861,Bovini e bufalini,Numero (n capi),924.0
1862,Bovini e bufalini,Numero (n capi),838.0
1863,Bovini e bufalini,Numero (n capi),775.0
1864,Bovini e bufalini,Numero (n capi),718.0
1865,Bovini e bufalini,Numero (n capi),663.0
1866,Bovini e bufalini,Numero (n capi),592.0
1867,Bovini e bufalini,Numero (n capi),596.0
1868,Bovini e bufalini,Numero (n capi),610.0
1869,Bovini e bufalini,Numero (n capi),619.0
1870,Bovini e bufalini,Numero (n capi),707.0
1871,Bovini e bufalini,Numero (n capi),744.0
1872,Bovini e bufalini,Numero (n capi),824.0
1873,Bovini e bufalini,Numero (n capi),890.0
1874,Bovini e bufalini,Numero (n capi),976.0
1875,Bovini e bufalini,Numero (n capi),1013.0
1876,Bovini e bufalini,Numero (n capi),1015.0
1877,Bovini e bufalini,Numero (n capi),986.0
1878,Bovini e bufalini,Numero (n capi),981.0
1879,Bovini e bufalini,Numero (n capi),999.0
1880,Bovini e bufalini,Numero (n capi),1030.0
1881,Bovini e bufalini,Numero (n capi),992.0
1882,Bovini e bufalini,Numero (n capi),1021.0
1883,Bovini e bufalini,Numero (n capi),1069.0
1884,Bovini e bufalini,Numero (n capi),1182.0
1885,Bovini e bufalini,Numero (n capi),1260.0
1886,Bovini e bufalini,Numero (n capi),1296.0
1887,Bovini e bufalini,Numero (n capi),1344.0
1888,Bovini e bufalini,Numero (n capi),1470.0
1889,Bovini e bufalini,Numero (n capi),1476.0
1890,Bovini e bufalini,Numero (n capi),1396.0
1891,Bovini e bufalini,Numero (n capi),1364.0
1892,Bovini e bufalini,Numero (n capi),1364.0
1893,Bovini e bufalini,Numero (n capi),1348.0
1894,Bovini e bufalini,Numero (n capi),1305.0
1895,Bovini e bufalini,Numero (n capi),1318.0
1896,Bovini e bufalini,Numero (n capi),1329.0
1897,Bovini e bufalini,Numero (n capi),1334.0
1898,Bovini e bufalini,Numero (n capi),1295.0
1899,Bovini e bufalini,Numero (n capi),1309.0
1900,Bovini e bufalini,Numero (n capi),1289.0
1901,Bovini e bufalini,Numero (n capi),1327.0
1902,Bovini e bufalini,Numero (n capi),1350.0
1903,Bovini e bufalini,Numero (n capi),1389.0
1904,Bovini e bufalini,Numero (n capi),1406.0
1905,Bovini e bufalini,Numero (n capi),1450.0
1906,Bovini e bufalini,Numero (n capi),1514.0
1907,Bovini e bufalini,Numero (n capi),1525.0
