Province,Numero (montagna),Superficie (montagna),Numero (collina),Superficie (collina),Numero (pianura),Superficie (pianura),Numero (totale),Superficie (totale),Anno,Tavola
Italia,270,309339,632,509206,497,244059,1399,1062604,2001,Tavola 1
Italia,381,401829,366,281711,350,165651,1097,849191,2001,Tavola 2
Italia,245,171835,730,568620,846,493747,1821,1234202,2001,Tavola 3
Italia,283,318059,639,515193,502,244919,1424,1078171,2002,Tavola 1
Italia,366,387769,358,281272,355,162890,1079,831931,2002,Tavola 2
Italia,267,190778,729,561393,840,492119,1836,1244290,2002,Tavola 3
Italia,306,321842,820,640705,534,262898,1660,1225445,2003,Tavola 1
Italia,334,362351,376,270804,360,174931,1070,808086,2003,Tavola 2
Italia,248,179868,731,561511,868,501645,1847,1243024,2003,Tavola 3
Italia,308,316036,823,637004,541,262665,1672,1215705,2004,Tavola 1
Italia,332,376749,357,245390,368,180644,1057,802783,2004,Tavola 2
Italia,256,179647,742,555199,889,513740,1887,1248586,2004,Tavola 3
Italia,307,314608,837,651451,545,263282,1689,1229341,2005,Tavola 1
Italia,323,369012,367,251191,398,180800,1088,801003,2005,Tavola 2
Italia,245,168230,741,554358,916,524080,1902,1246668,2005,Tavola 3
Italia,309,318750,794,644797,525,244713,1628,1208260,2006,Tavola 1
Italia,334,420751,380,257995,403,188006,1117,866752,2006,Tavola 2
Italia,251,168105,753,560422,946,532217,1950,1260744,2006,Tavola 3
Italia,302,309249,714,523972,514,224222,1530,1057443,2007,Tavola 1
Italia,340,416779,376,211460,396,185573,1112,813812,2007,Tavola 2
Italia,267,183258,780,558187,1033,540908,2080,1282353,2007,Tavola 3
