Province,Numero (montagna),Superficie (montagna),Numero (collina),Superficie (collina),Numero (pianura),Superficie (pianura),Numero (totale),Superficie (totale),Anno,Tavola
Piemonte,15,36.370,24,37.449,45,41.553,84,115.372,2001,Tavola 1
Valle d'Aosta/Vallée d'Aoste,3,15.356,-,-,-,-,3,15.356,2001,Tavola 1
Lombardia,11,22.127,23,11.634,135,38.250,169,72.011,2001,Tavola 1
Trento,6,6.871,-,-,-,-,6,6.871,2001,Tavola 1
Veneto,7,21.088,21,11.479,152,55.569,180,88.136,2001,Tavola 1
Friuli-Venezia Giulia,-,-,1,1.061,31,12.954,32,14.015,2001,Tavola 1
Liguria,4,6.458,1,240,-,-,5,6.698,2001,Tavola 1
Toscana,37,27.881,208,138.502,10,6.854,255,173.237,2001,Tavola 1
Umbria,18,11.837,54,23.701,-,-,72,35.538,2001,Tavola 1
Marche,22,19.223,31,22.208,-,-,53,41.431,2001,Tavola 1
Lazio,18,34.577,45,47.296,7,5.266,70,87.139,2001,Tavola 1
Abruzzo,8,21.674,1,475,-,-,9,22.149,2001,Tavola 1
Molise,-,-,-,-,-,-,-,-,2001,Tavola 1
Campania,1,341,5,2.674,4,3.121,10,6.136,2001,Tavola 1
Puglia,1,1.152,2,2.178,14,7.954,17,11.284,2001,Tavola 1
Basilicata,1,300,-,-,-,-,1,300,2001,Tavola 1
Calabria,-,-,1,500,-,-,1,500,2001,Tavola 1
Sicilia,14,6.253,22,5.969,1,225,37,12.447,2001,Tavola 1
Sardegna,17,24.912,103,136.036,28,33.160,148,194.108,2001,Tavola 1
Piemonte,110,81.506,64,24.500,48,19.888,222,125.894,2001,Tavola 2
Valle d'Aosta/Vallée d'Aoste,18,35.370,-,-,-,-,18,35.370,2001,Tavola 2
Lombardia,83,32.496,39,10.860,51,14.198,173,57.554,2001,Tavola 2
Trento,1,244,-,-,-,-,1,244,2001,Tavola 2
Veneto,31,12.850,9,2.759,91,33.927,131,49.536,2001,Tavola 2
Friuli-Venezia Giulia,2,2.488,-,-,6,933,8,3.421,2001,Tavola 2
