Periodo,Tipo,Istanze,Famiglia
a) dalla terza domenica di settembre al 31 dicembre,Galliformi,quaglia (Coturnix coturnix),Uccelli
a) dalla terza domenica di settembre al 31 dicembre,Galliformi,starna (Perdix perdix),Uccelli
a) dalla terza domenica di settembre al 31 dicembre,Galliformi,pernice rossa (Alectoris rufa),Uccelli
a) dalla terza domenica di settembre al 31 dicembre,Galliformi,pernice sarda (Alectoris barbara).,Uccelli
a) dalla terza domenica di settembre al 31 dicembre,Columbidi,tortora comune (Streptopelia turtur).,Uccelli
a) dalla terza domenica di settembre al 31 dicembre,Turdidi,merlo (Turdus merula).,Uccelli
a) dalla terza domenica di settembre al 31 dicembre,Passeridi,allodola (Alauda arvensis).,Uccelli
a) dalla terza domenica di settembre al 31 dicembre,Lagomorfi,lepre comune (Lepus europaeus),Mammiferi
a) dalla terza domenica di settembre al 31 dicembre,Lagomorfi,lepre sarda (Lepus capensis),Mammiferi
a) dalla terza domenica di settembre al 31 dicembre,Lagomorfi,coniglio selvatico (Oryctolagus cuniculus),Mammiferi
a) dalla terza domenica di settembre al 31 dicembre,Lagomorfi,minilepre (Sylvilagus floridanus).,Mammiferi
b) dalla terza domenica di settembre al 31 gennaio,Turdidi,cesena (Turdus pilaris),Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Turdidi,tordo bottaccio (Turdus philomelos),Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Turdidi,tordo sassello (Turdus iliacus).,Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Galliformi,fagiano comune (Phasianus colchicus).,Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Anatidi,germano reale (Anas platyrhynchos),Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Anatidi,alzavola (Anas crecca),Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Anatidi,canapiglia (Mareca strepera),Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Anatidi,fischione (Mareca penelope),Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Anatidi,codone (Anas acuta),Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Anatidi,marzaiola (Spatula querquedula),Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Anatidi,mestolone (Spatula clypeata),Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Anatidi,moriglione (Aythya ferina),Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Anatidi,moretta (Aythya fuligula).,Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Rallidi,folaga (Fulica atra),Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Rallidi,porciglione (Rallus aquaticus),Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Rallidi,gallinella d'acqua (Gallinula chloropus).,Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Scolopacidi,beccaccino (Gallinago gallinago),Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Scolopacidi,frullino (Lymnocryptes minimus),Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Scolopacidi,beccaccia (Scolopax rusticola).,Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Caradriidi,combattente (Philomachus pugnax),Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Caradriidi,pavoncella (Vanellus vanellus).,Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Columbidi,colombaccio (Columba palumbus).,Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Corvidi,cornacchia nera (Corvus corone),Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Corvidi,cornacchia grigia (Corvus cornix),Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Corvidi,ghiandaia (Garrulus glandarius),Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Corvidi,gazza (Pica pica).,Uccelli
b) dalla terza domenica di settembre al 31 gennaio,Canidi,volpe (Vulpes vulpes).,Mammiferi
c) dal 1º ottobre al 30 novembre,Galliformi,pernice bianca (Lagopus mutus),Uccelli
c) dal 1º ottobre al 30 novembre,Galliformi,fagiano di monte (Tetrao tetrix),Uccelli
c) dal 1º ottobre al 30 novembre,Galliformi,coturnice (Alectoris graeca).,Uccelli
c) dal 1º ottobre al 30 novembre,Bovidi,camoscio alpino (Rupicapra rupicapra),Mammiferi
c) dal 1º ottobre al 30 novembre,Bovidi,muflone (Ovis musimon),Mammiferi
c) dal 1º ottobre al 30 novembre,Cervidi,capriolo (Capreolus capreolus),Mammiferi
c) dal 1º ottobre al 30 novembre,Cervidi,cervo (Cervus elaphus),Mammiferi
c) dal 1º ottobre al 30 novembre,Cervidi,daino (Dama dama).,Mammiferi
c) dal 1º ottobre al 30 novembre,Lagomorfi,lepre variabile (Lepus timidus).,Mammiferi
d) dal 1º ottobre al 31 dicembre o dal 1º novembre al 31 gennaio,Suidi,cinghiale (Sus scrofa).,Mammiferi
