id,label,parent,value
Annelida_,Annelida,,2
Annelida_HIRUDINEA,HIRUDINEA,Annelida_,2
Annelida_HIRUDINEA_GNATHOBDELLAE,GNATHOBDELLAE,Annelida_HIRUDINEA,2
Annelida_HIRUDINEA_GNATHOBDELLAE_Hirudinidae,Hirudinidae,Annelida_HIRUDINEA_GNATHOBDELLAE,2
Annelida_HIRUDINEA_GNATHOBDELLAE_Hirudinidae_Sanguisuga,Sanguisuga,Annelida_HIRUDINEA_GNATHOBDELLAE_Hirudinidae,2
"Annelida_HIRUDINEA_GNATHOBDELLAE_Hirudinidae_Sanguisuga_Hirudo medicinalis (Linnaeus, 1758)","Hirudo medicinalis (Linnaeus, 1758)",Annelida_HIRUDINEA_GNATHOBDELLAE_Hirudinidae_Sanguisuga,2
Arthropoda_,Arthropoda,,120
Arthropoda_CRUSTACEA,CRUSTACEA,Arthropoda_,13
Arthropoda_CRUSTACEA_DECAPODA,DECAPODA,Arthropoda_CRUSTACEA,13
Arthropoda_CRUSTACEA_DECAPODA_Astacidae,Astacidae,Arthropoda_CRUSTACEA_DECAPODA,5
Arthropoda_CRUSTACEA_DECAPODA_Astacidae_Astice,Astice,Arthropoda_CRUSTACEA_DECAPODA_Astacidae,2
"Arthropoda_CRUSTACEA_DECAPODA_Astacidae_Astice_Astacus astacus (Linnaeus, 1758)","Astacus astacus (Linnaeus, 1758)",Arthropoda_CRUSTACEA_DECAPODA_Astacidae_Astice,2
Arthropoda_CRUSTACEA_DECAPODA_Astacidae_Gambero di fiume,Gambero di fiume,Arthropoda_CRUSTACEA_DECAPODA_Astacidae,3
"Arthropoda_CRUSTACEA_DECAPODA_Astacidae_Gambero di fiume_Austropotamobius pallipes (Lereboullet, 1858)","Austropotamobius pallipes (Lereboullet, 1858)",Arthropoda_CRUSTACEA_DECAPODA_Astacidae_Gambero di fiume,3
Arthropoda_CRUSTACEA_DECAPODA_Majidae,Majidae,Arthropoda_CRUSTACEA_DECAPODA,1
Arthropoda_CRUSTACEA_DECAPODA_Majidae_Granceola,Granceola,Arthropoda_CRUSTACEA_DECAPODA_Majidae,1
"Arthropoda_CRUSTACEA_DECAPODA_Majidae_Granceola_Maja squinado (Herbst, 1788)","Maja squinado (Herbst, 1788)",Arthropoda_CRUSTACEA_DECAPODA_Majidae_Granceola,1
Arthropoda_CRUSTACEA_DECAPODA_Nephropidae,Nephropidae,Arthropoda_CRUSTACEA_DECAPODA,1
Arthropoda_CRUSTACEA_DECAPODA_Nephropidae_Astice,Astice,Arthropoda_CRUSTACEA_DECAPODA_Nephropidae,1
"Arthropoda_CRUSTACEA_DECAPODA_Nephropidae_Astice_Homarus gammarus (Linnaeus, 1758)","Homarus gammarus (Linnaeus, 1758)",Arthropoda_CRUSTACEA_DECAPODA_Nephropidae_Astice,1
Arthropoda_CRUSTACEA_DECAPODA_Ocypodidae,Ocypodidae,Arthropoda_CRUSTACEA_DECAPODA,1
Arthropoda_CRUSTACEA_DECAPODA_Ocypodidae_Granchio fantasma,Granchio fantasma,Arthropoda_CRUSTACEA_DECAPODA_Ocypodidae,1
"Arthropoda_CRUSTACEA_DECAPODA_Ocypodidae_Granchio fantasma_Ocypode cursor (Linnaeus, 1758)","Ocypode cursor (Linnaeus, 1758)",Arthropoda_CRUSTACEA_DECAPODA_Ocypodidae_Granchio fantasma,1
Arthropoda_CRUSTACEA_DECAPODA_Palinuridae,Palinuridae,Arthropoda_CRUSTACEA_DECAPODA,1
Arthropoda_CRUSTACEA_DECAPODA_Palinuridae_Aragosta,Aragosta,Arthropoda_CRUSTACEA_DECAPODA_Palinuridae,1
"Arthropoda_CRUSTACEA_DECAPODA_Palinuridae_Aragosta_Palinurus elephas (Fabricius, 1787)","Palinurus elephas (Fabricius, 1787)",Arthropoda_CRUSTACEA_DECAPODA_Palinuridae_Aragosta,1
