id,label,parent,value
"A minor rischio, Dipendenti dalla protezione_","A minor rischio, Dipendenti dalla protezione",,20
"A minor rischio, Dipendenti dalla protezione_Bovidae",Bovidae,"A minor rischio, Dipendenti dalla protezione_",0
"A minor rischio, Dipendenti dalla protezione_Bovidae_Camoscio",Camoscio,"A minor rischio, Dipendenti dalla protezione_Bovidae",0
"A minor rischio, Dipendenti dalla protezione_Bovidae_Camoscio_Rupicapra pyrenaica Bonaparte, 1845","Rupicapra pyrenaica Bonaparte, 1845","A minor rischio, Dipendenti dalla protezione_Bovidae_Camoscio",0
"A minor rischio, Dipendenti dalla protezione_Delphinidae",Delphinidae,"A minor rischio, Dipendenti dalla protezione_",8
"A minor rischio, Dipendenti dalla protezione_Delphinidae_Orca",Orca,"A minor rischio, Dipendenti dalla protezione_Delphinidae",4
"A minor rischio, Dipendenti dalla protezione_Delphinidae_Orca_Orcinus orca (Linnaeus, 1758)  ","Orcinus orca (Linnaeus, 1758)  ","A minor rischio, Dipendenti dalla protezione_Delphinidae_Orca",4
"A minor rischio, Dipendenti dalla protezione_Delphinidae_Stenella striata",Stenella striata,"A minor rischio, Dipendenti dalla protezione_Delphinidae",4
"A minor rischio, Dipendenti dalla protezione_Delphinidae_Stenella striata_Stenella coeruleoalba (Meyen, 1833)","Stenella coeruleoalba (Meyen, 1833)","A minor rischio, Dipendenti dalla protezione_Delphinidae_Stenella striata",4
"A minor rischio, Dipendenti dalla protezione_Laridae",Laridae,"A minor rischio, Dipendenti dalla protezione_",5
"A minor rischio, Dipendenti dalla protezione_Laridae_Gabbiano corso",Gabbiano corso,"A minor rischio, Dipendenti dalla protezione_Laridae",5
"A minor rischio, Dipendenti dalla protezione_Laridae_Gabbiano corso_Larus audouinii Payraudeau, 1826","Larus audouinii Payraudeau, 1826","A minor rischio, Dipendenti dalla protezione_Laridae_Gabbiano corso",5
"A minor rischio, Dipendenti dalla protezione_Rhinolophidae",Rhinolophidae,"A minor rischio, Dipendenti dalla protezione_",5
"A minor rischio, Dipendenti dalla protezione_Rhinolophidae_Ferro di cavallo maggiore",Ferro di cavallo maggiore,"A minor rischio, Dipendenti dalla protezione_Rhinolophidae",5
"A minor rischio, Dipendenti dalla protezione_Rhinolophidae_Ferro di cavallo maggiore_Rhinolophus ferrumequinum (Schreber, 1774)","Rhinolophus ferrumequinum (Schreber, 1774)","A minor rischio, Dipendenti dalla protezione_Rhinolophidae_Ferro di cavallo maggiore",5
"A minor rischio, Dipendenti dalla protezione_Vertiginidae",Vertiginidae,"A minor rischio, Dipendenti dalla protezione_",2
"A minor rischio, Dipendenti dalla protezione_Vertiginidae_Vertigo di Demoulins",Vertigo di Demoulins,"A minor rischio, Dipendenti dalla protezione_Vertiginidae",1
"A minor rischio, Dipendenti dalla protezione_Vertiginidae_Vertigo di Demoulins_Vertigo moulinsiana (Dupuy, 1849)","Vertigo moulinsiana (Dupuy, 1849)","A minor rischio, Dipendenti dalla protezione_Vertiginidae_Vertigo di Demoulins",1
"A minor rischio, Dipendenti dalla protezione_Vertiginidae_Vertigo sinistrorso minore",Vertigo sinistrorso minore,"A minor rischio, Dipendenti dalla protezione_Vertiginidae",1
"A minor rischio, Dipendenti dalla protezione_Vertiginidae_Vertigo sinistrorso minore_Vertigo angustior Jeffrreys, 1830","Vertigo angustior Jeffrreys, 1830","A minor rischio, Dipendenti dalla protezione_Vertiginidae_Vertigo sinistrorso minore",1
"A minor rischio, Quasi a rischio_","A minor rischio, Quasi a rischio",,124
"A minor rischio, Quasi a rischio_Accipitridae",Accipitridae,"A minor rischio, Quasi a rischio_",5
"A minor rischio, Quasi a rischio_Accipitridae_Avvoltoio monaco",Avvoltoio monaco,"A minor rischio, Quasi a rischio_Accipitridae",5
"A minor rischio, Quasi a rischio_Accipitridae_Avvoltoio monaco_Aegypius monachus (Linnaeus, 1766)","Aegypius monachus (Linnaeus, 1766)","A minor rischio, Quasi a rischio_Accipitridae_Avvoltoio monaco",5
"A minor rischio, Quasi a rischio_Balenopteridae",Balenopteridae,"A minor rischio, Quasi a rischio_",4
"A minor rischio, Quasi a rischio_Balenopteridae_Balenottera minore",Balenottera minore,"A minor rischio, Quasi a rischio_Balenopteridae",4
"A minor rischio, Quasi a rischio_Balenopteridae_Balenottera minore_Balaenoptera acutorostrata Lacépède, 1804","Balaenoptera acutorostrata Lacépède, 1804","A minor rischio, Quasi a rischio_Balenopteridae_Balenottera minore",4
"A minor rischio, Quasi a rischio_Cobitidae",Cobitidae,"A minor rischio, Quasi a rischio_",3
"A minor rischio, Quasi a rischio_Cobitidae_Cobite mascherato",Cobite mascherato,"A minor rischio, Quasi a rischio_Cobitidae",3
"A minor rischio, Quasi a rischio_Cobitidae_Cobite mascherato_Sabanejewia larvata (De Filippi, 1859)","Sabanejewia larvata (De Filippi, 1859)","A minor rischio, Quasi a rischio_Cobitidae_Cobite mascherato",3
"A minor rischio, Quasi a rischio_Cyprinidae",Cyprinidae,"A minor rischio, Quasi a rischio_",9
"A minor rischio, Quasi a rischio_Cyprinidae_Barbo",Barbo,"A minor rischio, Quasi a rischio_Cyprinidae",3
"A minor rischio, Quasi a rischio_Cyprinidae_Barbo_Barbo plebejus (Bonaparte, 1839)","Barbo plebejus (Bonaparte, 1839)","A minor rischio, Quasi a rischio_Cyprinidae_Barbo",3
"A minor rischio, Quasi a rischio_Cyprinidae_Cavedano dell'Ombrone",Cavedano dell'Ombrone,"A minor rischio, Quasi a rischio_Cyprinidae",3
"A minor rischio, Quasi a rischio_Cyprinidae_Cavedano dell'Ombrone_Leuciscus lucumonis Bianco, 1982","Leuciscus lucumonis Bianco, 1982","A minor rischio, Quasi a rischio_Cyprinidae_Cavedano dell'Ombrone",3
"A minor rischio, Quasi a rischio_Cyprinidae_Lasca",Lasca,"A minor rischio, Quasi a rischio_Cyprinidae",3
"A minor rischio, Quasi a rischio_Cyprinidae_Lasca_Chondrostoma genei (Bonaparte, 1839) ","Chondrostoma genei (Bonaparte, 1839) ","A minor rischio, Quasi a rischio_Cyprinidae_Lasca",3
"A minor rischio, Quasi a rischio_Emydidae",Emydidae,"A minor rischio, Quasi a rischio_",3
"A minor rischio, Quasi a rischio_Emydidae_Testuggine d'acqua",Testuggine d'acqua,"A minor rischio, Quasi a rischio_Emydidae",3
"A minor rischio, Quasi a rischio_Emydidae_Testuggine d'acqua_Emys orbicularis (Linnaeus, 1758)","Emys orbicularis (Linnaeus, 1758)","A minor rischio, Quasi a rischio_Emydidae_Testuggine d'acqua",3
"A minor rischio, Quasi a rischio_Gobiidae",Gobiidae,"A minor rischio, Quasi a rischio_",2
"A minor rischio, Quasi a rischio_Gobiidae_Giozzo padano",Giozzo padano,"A minor rischio, Quasi a rischio_Gobiidae",2
"A minor rischio, Quasi a rischio_Gobiidae_Giozzo padano_Podogobius martensi (Günther, 1861)","Podogobius martensi (Günther, 1861)","A minor rischio, Quasi a rischio_Gobiidae_Giozzo padano",2
"A minor rischio, Quasi a rischio_Hirudinidae",Hirudinidae,"A minor rischio, Quasi a rischio_",2
"A minor rischio, Quasi a rischio_Hirudinidae_Sanguisuga",Sanguisuga,"A minor rischio, Quasi a rischio_Hirudinidae",2
"A minor rischio, Quasi a rischio_Hirudinidae_Sanguisuga_Hirudo medicinalis (Linnaeus, 1758)","Hirudo medicinalis (Linnaeus, 1758)","A minor rischio, Quasi a rischio_Hirudinidae_Sanguisuga",2
"A minor rischio, Quasi a rischio_Hylidae",Hylidae,"A minor rischio, Quasi a rischio_",2
"A minor rischio, Quasi a rischio_Hylidae_Raganella comune",Raganella comune,"A minor rischio, Quasi a rischio_Hylidae",2
"A minor rischio, Quasi a rischio_Hylidae_Raganella comune_Hyla arborea (Linnaeus, 1758)","Hyla arborea (Linnaeus, 1758)","A minor rischio, Quasi a rischio_Hylidae_Raganella comune",2
"A minor rischio, Quasi a rischio_Hystricidae",Hystricidae,"A minor rischio, Quasi a rischio_",3
"A minor rischio, Quasi a rischio_Hystricidae_Istrice",Istrice,"A minor rischio, Quasi a rischio_Hystricidae",3
"A minor rischio, Quasi a rischio_Hystricidae_Istrice_Hystrix cristata  (Linnaeus, 1758)  ","Hystrix cristata  (Linnaeus, 1758)  ","A minor rischio, Quasi a rischio_Hystricidae_Istrice",3
"A minor rischio, Quasi a rischio_Lamnidae",Lamnidae,"A minor rischio, Quasi a rischio_",2
"A minor rischio, Quasi a rischio_Lamnidae_Smeriglio",Smeriglio,"A minor rischio, Quasi a rischio_Lamnidae",1
"A minor rischio, Quasi a rischio_Lamnidae_Smeriglio_Lamna nasus (Bonnaterre,1788)","Lamna nasus (Bonnaterre,1788)","A minor rischio, Quasi a rischio_Lamnidae_Smeriglio",1
"A minor rischio, Quasi a rischio_Lamnidae_Squalo mako",Squalo mako,"A minor rischio, Quasi a rischio_Lamnidae",1
"A minor rischio, Quasi a rischio_Lamnidae_Squalo mako_Isurus oxyrinchus Rafinesque, 1810","Isurus oxyrinchus Rafinesque, 1810","A minor rischio, Quasi a rischio_Lamnidae_Squalo mako",1
"A minor rischio, Quasi a rischio_Myoxidae",Myoxidae,"A minor rischio, Quasi a rischio_",8
