Animale,Campania,Emilia Romagna,Lazio,Marche,Piemonte,Puglia,Sardegna,Toscana,Umbria
Beccaccia,0,1,0,1,2,1,0,2,0
Colombaccio,0,0,0,0,1,0,1,1,1
Fagiano,1,0,1,1,2,1,0,1,0
Pernice Rossa,1,0,0,1,3,0,0,1,0
Starna,0,0,1,2,2,0,1,1,0
Tordi,0,0,0,1,2,0,1,0,1
Capriolo,1,0,1,1,0,0,0,1,0
Allodola,0,0,0,0,1,1,0,0,0
Cinghiale,0,0,1,1,1,0,1,1,1
Lepre,0,1,0,1,0,1,0,1,0
Quaglia,0,1,0,1,2,0,1,1,0
Cervo,1,0,1,0,0,0,1,0,0
Coturnice Chukar,0,1,0,0,0,0,0,0,0
Daino,1,0,1,0,0,0,0,1,0
Muflone,1,0,1,0,0,0,0,1,0
Beccaccino,0,0,0,1,0,0,0,0,0
Cesena,0,0,1,0,0,0,0,0,0
Germano Reale,0,0,1,0,0,0,1,0,0
Minilepre,0,0,0,1,0,0,0,0,0
Coniglio selvatico,0,0,0,0,0,0,0,1,0
Lepre sarda,0,0,0,0,0,0,0,0,1
Pernice sarda,0,0,0,0,0,0,0,0,1
