Sport,Sesso,Età,Anno,Valori
"Calcio, calcetto",M,3-10,2006,446
"Calcio, calcetto",M,11-19,2006,1144
"Calcio, calcetto",M,20-34,2006,1473
"Calcio, calcetto",M,35-59,2006,964
"Calcio, calcetto",M,60+,2006,22
"Calcio, calcetto",M,Totale,2006,4049
"Calcio, calcetto",M,3-10,2015,518
"Calcio, calcetto",M,11-19,2015,1210
"Calcio, calcetto",M,20-34,2015,1433
"Calcio, calcetto",M,35-59,2015,1254
"Calcio, calcetto",M,60+,2015,128
"Calcio, calcetto",M,Totale,2015,4544
"Ginnastica, aerobica, fitness a cultura fisica",M,3-10,2006,71
"Ginnastica, aerobica, fitness a cultura fisica",M,11-19,2006,207
"Ginnastica, aerobica, fitness a cultura fisica",M,20-34,2006,658
"Ginnastica, aerobica, fitness a cultura fisica",M,35-59,2006,545
"Ginnastica, aerobica, fitness a cultura fisica",M,60+,2006,80
"Ginnastica, aerobica, fitness a cultura fisica",M,Totale,2006,1561
"Ginnastica, aerobica, fitness a cultura fisica",M,3-10,2015,27
"Ginnastica, aerobica, fitness a cultura fisica",M,11-19,2015,204
"Ginnastica, aerobica, fitness a cultura fisica",M,20-34,2015,708
"Ginnastica, aerobica, fitness a cultura fisica",M,35-59,2015,731
"Ginnastica, aerobica, fitness a cultura fisica",M,60+,2015,172
"Ginnastica, aerobica, fitness a cultura fisica",M,Totale,2015,1842
Sport acquatici e subacquei,M,3-10,2006,450
Sport acquatici e subacquei,M,11-19,2006,317
Sport acquatici e subacquei,M,20-34,2006,424
Sport acquatici e subacquei,M,35-59,2006,547
Sport acquatici e subacquei,M,60+,2006,93
Sport acquatici e subacquei,M,Totale,2006,1831
Sport acquatici e subacquei,M,3-10,2015,468
Sport acquatici e subacquei,M,11-19,2015,391
Sport acquatici e subacquei,M,20-34,2015,322
Sport acquatici e subacquei,M,35-59,2015,698
Sport acquatici e subacquei,M,60+,2015,194
Sport acquatici e subacquei,M,Totale,2015,2073
"Sport invernali, su ghiaccio e altri sport di montagna",M,3-10,2006,95
"Sport invernali, su ghiaccio e altri sport di montagna",M,11-19,2006,121
"Sport invernali, su ghiaccio e altri sport di montagna",M,20-34,2006,276
"Sport invernali, su ghiaccio e altri sport di montagna",M,35-59,2006,554
"Sport invernali, su ghiaccio e altri sport di montagna",M,60+,2006,111
"Sport invernali, su ghiaccio e altri sport di montagna",M,Totale,2006,1157
"Sport invernali, su ghiaccio e altri sport di montagna",M,3-10,2015,62
